trajectory_idx,trajectory_name,model_name,rollout_type,start_coords,goal_coords,gt_length,pred_steps,reached_goal,frechet_km,mean_prob,elapsed_ms,pred_grid_path,gt_grid_path
10,689491f4-d3ce-437e-8b93-7dbf1e204a56,xgb_coarse_simple_greedy,greedy,"(16, 50)","(21, 37)",53,21,True,5840.197755185525,0.9289737850427627,70.53330005146563,"[[16, 50], [16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [16, 46], [16, 45], [17, 45], [17, 44], [17, 43], [17, 42], [17, 41], [18, 41], [18, 40], [18, 39], [19, 39], [19, 38], [20, 38], [20, 37], [21, 37]]","[[16, 50], [16, 49], [17, 49], [17, 48], [16, 48], [16, 47], [15, 47], [15, 46], [14, 46], [14, 45], [14, 44], [13, 44], [13, 43], [13, 42], [12, 42], [12, 41], [11, 41], [11, 40], [11, 39], [10, 39], [10, 38], [10, 37], [10, 36], [10, 35], [10, 34], [11, 34], [11, 33], [12, 33], [12, 32], [13, 32], [13, 31], [14, 31], [14, 30], [15, 30], [16, 30], [16, 29], [17, 29], [17, 28], [18, 28], [19, 28], [20, 28], [20, 29], [21, 29], [21, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37]]"
11,d139e44d-7a1d-42b0-85a6-7bf183ddebea,xgb_coarse_simple_greedy,greedy,"(21, 11)","(21, 53)",25,27,True,1204.9927407382556,0.8850392126120054,78.12610012479126,"[[21, 11], [21, 10], [21, 9], [22, 9], [22, 8], [22, 7], [23, 7], [23, 6], [23, 5], [23, 4], [23, 3], [23, 2], [23, 1], [23, 0], [23, 63], [23, 62], [23, 61], [23, 60], [23, 59], [23, 58], [23, 57], [23, 56], [22, 56], [22, 55], [22, 54], [21, 54], [21, 53]]","[[21, 11], [21, 10], [21, 9], [21, 8], [22, 8], [22, 7], [22, 6], [22, 5], [22, 4], [22, 3], [22, 2], [22, 1], [22, 0], [22, 63], [22, 62], [22, 61], [22, 60], [22, 59], [22, 58], [21, 58], [21, 57], [21, 56], [21, 55], [21, 54], [21, 53]]"
12,c15e0b7e-cedc-4b8e-9e15-b30213abda6d,xgb_coarse_simple_greedy,greedy,"(19, 51)","(18, 49)",8,6,True,586.1978963401234,0.8829290390014648,13.95809999667108,"[[19, 51], [18, 51], [17, 51], [17, 50], [17, 49], [18, 49]]","[[19, 51], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50], [17, 49], [18, 49]]"
13,c1f56d8f-3f1b-4e70-9015-2f7d6a61be9d,xgb_coarse_simple_greedy,greedy,"(21, 11)","(19, 4)",10,10,True,0.0,0.9194977813296847,28.79060013219714,"[[21, 11], [21, 10], [21, 9], [21, 8], [21, 7], [20, 7], [20, 6], [20, 5], [20, 4], [19, 4]]","[[21, 11], [21, 10], [21, 9], [21, 8], [21, 7], [20, 7], [20, 6], [20, 5], [20, 4], [19, 4]]"
14,b795f20d-5779-48c4-9a47-7b3071121dbb,xgb_coarse_simple_greedy,greedy,"(22, 53)","(22, 56)",6,6,True,0.0,0.9520747184753418,19.464500015601516,"[[22, 53], [21, 53], [21, 54], [21, 55], [21, 56], [22, 56]]","[[22, 53], [21, 53], [21, 54], [21, 55], [21, 56], [22, 56]]"
15,da2acb53-02bd-4ac1-8481-6ebff5866e0f,xgb_coarse_simple_greedy,greedy,"(16, 49)","(19, 44)",9,9,True,624.3494368675101,0.9355989545583725,25.907699950039387,"[[16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]","[[16, 49], [16, 48], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]"
16,fe6af177-8f6c-4b0e-b8cf-80bdd1edceb8,xgb_coarse_simple_greedy,greedy,"(11, 58)","(22, 53)",21,19,True,586.3020510617911,0.8806829286946191,52.49339994043112,"[[11, 58], [11, 59], [12, 59], [12, 58], [13, 58], [14, 58], [14, 57], [15, 57], [16, 57], [16, 56], [17, 56], [18, 56], [18, 55], [19, 55], [19, 54], [20, 54], [21, 54], [21, 53], [22, 53]]","[[11, 58], [11, 59], [11, 58], [11, 59], [12, 59], [12, 58], [13, 58], [14, 58], [14, 57], [15, 57], [16, 57], [16, 56], [17, 56], [18, 56], [18, 55], [19, 55], [20, 55], [20, 54], [21, 54], [21, 53], [22, 53]]"
17,204d50e4-5d87-4486-9bb6-0e20b2a0c845,xgb_coarse_simple_greedy,greedy,"(12, 63)","(20, 51)",23,21,True,625.5278933130984,0.8780987530946731,61.18279998190701,"[[12, 63], [13, 63], [13, 62], [14, 62], [15, 62], [16, 62], [17, 62], [17, 61], [17, 60], [17, 59], [17, 58], [17, 57], [18, 57], [18, 56], [18, 55], [18, 54], [19, 54], [19, 53], [19, 52], [19, 51], [20, 51]]","[[12, 63], [13, 63], [13, 62], [14, 62], [15, 62], [16, 62], [17, 62], [17, 61], [17, 60], [16, 60], [17, 60], [17, 59], [17, 58], [17, 57], [18, 57], [18, 56], [18, 55], [18, 54], [19, 54], [19, 53], [19, 52], [19, 51], [20, 51]]"
18,afb63ebc-fa8a-498d-87f9-cf5a7d0e7472,xgb_coarse_simple_greedy,greedy,"(17, 18)","(21, 54)",37,33,True,1876.4725459403435,0.8127065747976303,95.43079999275506,"[[17, 18], [17, 17], [17, 16], [18, 16], [18, 15], [18, 14], [19, 14], [19, 13], [19, 12], [19, 11], [20, 11], [20, 10], [20, 9], [20, 8], [20, 7], [20, 6], [20, 5], [20, 4], [20, 3], [20, 2], [20, 1], [20, 0], [20, 63], [20, 62], [20, 61], [20, 60], [20, 59], [20, 58], [20, 57], [21, 57], [21, 56], [21, 55], [21, 54]]","[[17, 18], [17, 17], [17, 16], [17, 15], [18, 15], [18, 14], [18, 13], [19, 13], [19, 12], [20, 12], [20, 11], [20, 10], [21, 10], [21, 9], [21, 8], [22, 8], [22, 7], [22, 6], [22, 5], [22, 4], [23, 4], [23, 3], [23, 2], [22, 2], [22, 1], [22, 0], [22, 63], [22, 62], [22, 61], [22, 60], [22, 59], [21, 59], [21, 58], [21, 57], [21, 56], [21, 55], [21, 54]]"
19,9a37beae-694b-464e-9886-1c8b41cd9f72,xgb_coarse_simple_greedy,greedy,"(19, 19)","(16, 50)",49,70,False,9665.551555415293,0.7525269017703291,192.34039983712137,"[[19, 19], [19, 20], [18, 20], [18, 21], [18, 22], [17, 22], [17, 23], [16, 23], [16, 24], [16, 25], [15, 25], [15, 26], [14, 26], [14, 27], [13, 27], [13, 28], [13, 29], [12, 29], [12, 30], [11, 30], [11, 31], [11, 32], [10, 32], [10, 33], [10, 34], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35], [9, 35], [10, 35]]","[[19, 19], [19, 20], [18, 20], [18, 21], [18, 22], [17, 22], [17, 23], [16, 23], [16, 24], [16, 25], [15, 25], [15, 26], [14, 26], [14, 27], [13, 27], [13, 28], [13, 29], [12, 29], [12, 30], [11, 30], [11, 31], [11, 32], [10, 32], [10, 33], [10, 34], [10, 35], [10, 36], [10, 37], [10, 38], [10, 39], [10, 40], [11, 40], [11, 41], [11, 42], [12, 42], [12, 43], [13, 43], [13, 44], [14, 44], [14, 45], [15, 45], [15, 46], [15, 47], [16, 47], [16, 48], [17, 48], [16, 48], [16, 49], [16, 50]]"
20,523ddfad-a718-4792-8691-740932b194ba,xgb_coarse_simple_greedy,greedy,"(22, 56)","(21, 53)",7,5,True,810.2589947672493,0.9431358575820923,13.299300102517009,"[[22, 56], [21, 56], [21, 55], [21, 54], [21, 53]]","[[22, 56], [23, 56], [23, 55], [22, 55], [22, 54], [21, 54], [21, 53]]"
21,94e65e2c-b53d-4180-9c9d-b03c368f4fc9,xgb_coarse_simple_greedy,greedy,"(21, 18)","(19, 44)",49,33,True,6980.145858859239,0.8776483684778214,97.46850002557039,"[[21, 18], [21, 19], [21, 20], [21, 21], [21, 22], [21, 23], [21, 24], [21, 25], [21, 26], [21, 27], [21, 28], [21, 29], [21, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37], [20, 37], [20, 38], [19, 38], [19, 39], [18, 39], [18, 40], [18, 41], [18, 42], [18, 43], [19, 43], [19, 44]]","[[21, 18], [21, 19], [20, 19], [20, 20], [20, 21], [19, 21], [19, 22], [18, 22], [18, 23], [17, 23], [17, 24], [16, 24], [16, 25], [15, 25], [15, 26], [14, 26], [14, 27], [13, 27], [13, 28], [13, 29], [12, 29], [12, 30], [11, 30], [11, 31], [10, 31], [10, 32], [10, 33], [10, 34], [10, 35], [9, 35], [10, 35], [10, 36], [10, 37], [11, 37], [11, 38], [12, 38], [12, 39], [13, 39], [13, 40], [14, 40], [15, 40], [15, 41], [16, 41], [16, 42], [17, 42], [17, 43], [18, 43], [18, 44], [19, 44]]"
22,b0371530-095f-49b8-bb60-ba8fdd1bb7cb,xgb_coarse_simple_greedy,greedy,"(22, 56)","(22, 53)",6,6,True,0.0,0.9575948715209961,14.008699916303158,"[[22, 56], [21, 56], [21, 55], [21, 54], [21, 53], [22, 53]]","[[22, 56], [21, 56], [21, 55], [21, 54], [21, 53], [22, 53]]"
23,5cbe924a-c256-4b7d-9db0-3437ee3cc0d0,xgb_coarse_simple_greedy,greedy,"(9, 57)","(9, 62)",10,8,True,506.89640029765195,0.9724745750427246,26.39029989950359,"[[9, 57], [9, 58], [9, 59], [9, 60], [9, 61], [10, 61], [10, 62], [9, 62]]","[[9, 57], [9, 58], [9, 59], [9, 60], [9, 61], [10, 61], [10, 62], [9, 62], [9, 63], [9, 62]]"
24,72ea440c-22fe-4853-bc29-ad4176eb62d6,xgb_coarse_simple_greedy,greedy,"(20, 18)","(20, 18)",5,3,True,625.4165472263625,0.6980916559696198,8.82890005595982,"[[20, 18], [20, 19], [20, 18]]","[[20, 18], [20, 19], [19, 19], [20, 19], [20, 18]]"
25,ac7cbf1c-381a-4617-8b1e-de9f30e7bdcf,xgb_coarse_simple_greedy,greedy,"(20, 18)","(20, 18)",5,3,True,625.4165472263625,0.6980916559696198,7.836000062525272,"[[20, 18], [20, 19], [20, 18]]","[[20, 18], [20, 19], [19, 19], [20, 19], [20, 18]]"
26,3419271f-fefd-4710-b5fe-759bc947c1cd,xgb_coarse_simple_greedy,greedy,"(19, 20)","(21, 15)",8,8,True,625.4165472263625,0.9191366008349827,24.434999795630574,"[[19, 20], [19, 19], [19, 18], [19, 17], [19, 16], [20, 16], [20, 15], [21, 15]]","[[19, 20], [19, 19], [19, 18], [20, 18], [20, 17], [20, 16], [20, 15], [21, 15]]"
27,d3942eed-1a0e-43ba-8cd4-a5f69194015b,xgb_coarse_simple_greedy,greedy,"(21, 17)","(16, 50)",57,41,True,6932.2793006641095,0.883911770582199,143.12639995478094,"[[21, 17], [21, 18], [21, 19], [21, 20], [21, 21], [21, 22], [21, 23], [21, 24], [21, 25], [21, 26], [21, 27], [21, 28], [21, 29], [21, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37], [20, 37], [20, 38], [19, 38], [19, 39], [18, 39], [18, 40], [18, 41], [18, 42], [17, 42], [17, 43], [17, 44], [17, 45], [17, 46], [17, 47], [17, 48], [17, 49], [16, 49], [16, 50]]","[[21, 17], [21, 18], [21, 19], [20, 19], [20, 20], [20, 21], [19, 21], [19, 22], [18, 22], [18, 23], [17, 23], [17, 24], [16, 24], [16, 25], [15, 25], [15, 26], [15, 27], [14, 27], [14, 28], [13, 28], [13, 29], [12, 29], [12, 30], [11, 30], [11, 31], [11, 32], [10, 32], [10, 33], [10, 34], [10, 35], [9, 35], [10, 35], [10, 36], [10, 37], [10, 38], [10, 39], [11, 39], [11, 40], [11, 41], [12, 41], [12, 42], [12, 43], [13, 43], [13, 44], [14, 44], [14, 45], [15, 45], [15, 46], [15, 47], [16, 47], [16, 48], [17, 48], [17, 49], [16, 49], [17, 49], [16, 49], [16, 50]]"
28,7c57190d-73b7-42a8-8663-13e8841a6b43,xgb_coarse_simple_greedy,greedy,"(21, 53)","(14, 50)",11,11,True,604.7482615119684,0.9003789842128753,34.31450016796589,"[[21, 53], [20, 53], [20, 52], [19, 52], [18, 52], [18, 51], [17, 51], [16, 51], [16, 50], [15, 50], [14, 50]]","[[21, 53], [20, 53], [20, 52], [19, 52], [19, 51], [18, 51], [17, 51], [16, 51], [16, 50], [15, 50], [14, 50]]"
29,5549eda9-092b-43ab-b238-cb51877264fb,xgb_coarse_simple_greedy,greedy,"(19, 52)","(18, 54)",4,4,True,0.0,0.7690520683924357,11.24090002849698,"[[19, 52], [19, 53], [18, 53], [18, 54]]","[[19, 52], [19, 53], [18, 53], [18, 54]]"
30,a420cd15-21e4-4943-873f-1c9cd31fecd0,xgb_coarse_simple_greedy,greedy,"(19, 51)","(17, 50)",6,4,True,586.1978963401234,0.8042503396670023,9.899700060486794,"[[19, 51], [18, 51], [17, 51], [17, 50]]","[[19, 51], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50]]"
31,127b9696-4005-40e5-9f71-ec484d09893c,xgb_coarse_simple_greedy,greedy,"(22, 56)","(20, 53)",6,6,True,0.0,0.9212839245796204,16.184499952942133,"[[22, 56], [21, 56], [21, 55], [21, 54], [20, 54], [20, 53]]","[[22, 56], [21, 56], [21, 55], [21, 54], [20, 54], [20, 53]]"
32,dc9c908b-7eec-40aa-beb0-7e6f2d2a7076,xgb_coarse_simple_greedy,greedy,"(19, 48)","(16, 50)",6,6,True,0.0,0.9663358569145203,18.187399953603745,"[[19, 48], [18, 48], [17, 48], [17, 49], [16, 49], [16, 50]]","[[19, 48], [18, 48], [17, 48], [17, 49], [16, 49], [16, 50]]"
33,9db2988a-18db-42ba-bb59-bdfc5fc13167,xgb_coarse_simple_greedy,greedy,"(17, 18)","(22, 53)",41,37,True,1250.9446526272452,0.853615274031957,127.0140998531133,"[[17, 18], [17, 17], [17, 16], [18, 16], [18, 15], [18, 14], [19, 14], [19, 13], [19, 12], [20, 12], [20, 11], [21, 11], [21, 10], [21, 9], [22, 9], [22, 8], [22, 7], [22, 6], [22, 5], [22, 4], [22, 3], [22, 2], [22, 1], [22, 0], [22, 63], [22, 62], [22, 61], [22, 60], [22, 59], [22, 58], [22, 57], [22, 56], [22, 55], [22, 54], [21, 54], [21, 53], [22, 53]]","[[17, 18], [17, 17], [17, 16], [18, 16], [18, 15], [18, 14], [19, 14], [19, 13], [19, 12], [20, 12], [20, 11], [21, 11], [21, 10], [21, 9], [22, 9], [22, 8], [22, 7], [22, 6], [23, 6], [23, 5], [23, 4], [23, 3], [24, 3], [24, 2], [24, 1], [24, 0], [24, 63], [24, 62], [24, 61], [24, 60], [23, 60], [23, 59], [23, 58], [23, 57], [23, 56], [22, 56], [22, 55], [22, 54], [21, 54], [21, 53], [22, 53]]"
34,8244bb5e-d604-424e-9446-7af4dc599cbf,xgb_coarse_simple_greedy,greedy,"(16, 49)","(19, 44)",9,9,True,0.0,0.9451154917478561,26.66839980520308,"[[16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]","[[16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]"
35,217c8d6f-b189-4161-a72d-3debd9644164,xgb_coarse_simple_greedy,greedy,"(16, 50)","(18, 53)",6,6,True,624.3494368675101,0.8328407049179077,14.09740000963211,"[[16, 50], [16, 51], [17, 51], [17, 52], [18, 52], [18, 53]]","[[16, 50], [17, 50], [17, 51], [18, 51], [18, 52], [18, 53]]"
36,09b8c629-f1af-4ecf-92cd-4efba9cb3c82,xgb_coarse_simple_greedy,greedy,"(18, 53)","(21, 54)",5,5,True,0.0,0.8401286900043488,13.563900021836162,"[[18, 53], [19, 53], [20, 53], [21, 53], [21, 54]]","[[18, 53], [19, 53], [20, 53], [21, 53], [21, 54]]"
37,a96359c5-0e52-4e40-9550-2e97f8e6bc05,xgb_coarse_simple_greedy,greedy,"(25, 2)","(22, 56)",16,14,True,625.4165472263625,0.8407969566491934,44.115500058978796,"[[25, 2], [25, 1], [25, 0], [25, 63], [25, 62], [25, 61], [25, 60], [24, 60], [24, 59], [23, 59], [23, 58], [23, 57], [22, 57], [22, 56]]","[[25, 2], [25, 1], [25, 0], [25, 63], [25, 62], [25, 61], [25, 60], [24, 60], [24, 59], [24, 58], [23, 58], [23, 57], [22, 57], [22, 56], [21, 56], [22, 56]]"
38,89e600c7-4a28-42ec-896b-c7bd2069e50c,xgb_coarse_simple_greedy,greedy,"(21, 54)","(24, 10)",26,24,True,625.5278933130984,0.9335316808327384,71.74849999137223,"[[21, 54], [22, 54], [22, 55], [22, 56], [23, 56], [23, 57], [23, 58], [23, 59], [24, 59], [24, 60], [24, 61], [24, 62], [24, 63], [24, 0], [24, 1], [24, 2], [24, 3], [24, 4], [24, 5], [24, 6], [24, 7], [24, 8], [24, 9], [24, 10]]","[[21, 54], [22, 54], [22, 55], [22, 56], [23, 56], [23, 57], [23, 58], [23, 59], [23, 60], [23, 61], [24, 61], [24, 62], [24, 63], [24, 0], [24, 1], [24, 2], [25, 2], [25, 3], [25, 4], [25, 5], [25, 6], [24, 6], [24, 7], [24, 8], [24, 9], [24, 10]]"
39,4510be2c-8542-4e85-9cfe-9b61e580f7e0,xgb_coarse_simple_greedy,greedy,"(22, 56)","(22, 53)",6,6,True,0.0,0.9561194181442261,14.089199947193265,"[[22, 56], [21, 56], [21, 55], [21, 54], [21, 53], [22, 53]]","[[22, 56], [21, 56], [21, 55], [21, 54], [21, 53], [22, 53]]"
40,6e485f32-54a0-4fc4-9823-8ffef1420bde,xgb_coarse_simple_greedy,greedy,"(17, 45)","(23, 20)",46,32,True,6172.073912899844,0.8962626130350174,109.4270998146385,"[[17, 45], [17, 44], [17, 43], [18, 43], [18, 42], [18, 41], [18, 40], [18, 39], [19, 39], [19, 38], [20, 38], [20, 37], [21, 37], [21, 36], [21, 35], [22, 35], [22, 34], [22, 33], [22, 32], [22, 31], [22, 30], [22, 29], [22, 28], [22, 27], [22, 26], [22, 25], [22, 24], [22, 23], [22, 22], [23, 22], [23, 21], [23, 20]]","[[17, 45], [16, 45], [16, 44], [15, 44], [15, 43], [15, 42], [14, 42], [14, 41], [14, 40], [13, 40], [13, 39], [12, 39], [12, 38], [11, 38], [11, 37], [10, 37], [10, 36], [10, 35], [10, 34], [10, 33], [11, 33], [11, 32], [12, 32], [12, 31], [13, 31], [13, 30], [14, 30], [14, 29], [15, 29], [15, 28], [16, 28], [17, 28], [17, 27], [18, 27], [18, 26], [19, 26], [19, 25], [20, 25], [20, 24], [21, 24], [21, 23], [21, 22], [22, 22], [22, 21], [23, 21], [23, 20]]"
41,9c88dee7-3358-4fd0-a9eb-f518ae1f2a05,xgb_coarse_simple_greedy,greedy,"(20, 18)","(17, 18)",6,4,True,586.3012559876005,0.8764566779136658,11.090700048953295,"[[20, 18], [19, 18], [18, 18], [17, 18]]","[[20, 18], [19, 18], [19, 19], [19, 18], [18, 18], [17, 18]]"
42,6ee0be85-aa3b-4485-9b33-cc519271dd81,xgb_coarse_simple_greedy,greedy,"(24, 32)","(23, 20)",16,14,True,458.2075951359075,0.89087464259221,40.03260005265474,"[[24, 32], [24, 31], [24, 30], [24, 29], [24, 28], [24, 27], [24, 26], [24, 25], [24, 24], [24, 23], [23, 23], [23, 22], [23, 21], [23, 20]]","[[24, 32], [24, 31], [24, 30], [24, 29], [24, 28], [24, 29], [24, 28], [24, 27], [24, 26], [24, 25], [24, 24], [24, 23], [24, 22], [23, 22], [23, 21], [23, 20]]"
43,cba5b126-e90d-41d9-bc1e-cde0683d8372,xgb_coarse_simple_greedy,greedy,"(23, 20)","(20, 18)",6,6,True,0.0,0.8920613765716553,13.992100022733212,"[[23, 20], [22, 20], [22, 19], [21, 19], [21, 18], [20, 18]]","[[23, 20], [22, 20], [22, 19], [21, 19], [21, 18], [20, 18]]"
44,bbbf8797-0df4-41f9-ac7b-5113dde289e1,xgb_coarse_simple_greedy,greedy,"(19, 46)","(16, 49)",7,7,True,617.4683591415277,0.8512078821659088,21.743700141087174,"[[19, 46], [18, 46], [18, 47], [17, 47], [17, 48], [17, 49], [16, 49]]","[[19, 46], [18, 46], [18, 47], [18, 48], [17, 48], [17, 49], [16, 49]]"
45,e185c320-348e-484a-a896-f162b1769d35,xgb_coarse_simple_greedy,greedy,"(17, 50)","(20, 52)",6,6,True,0.0,0.9621145963668823,13.855099910870194,"[[17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52]]","[[17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52]]"
46,d84d6843-1b26-4b60-b783-d200e2e64181,xgb_coarse_simple_greedy,greedy,"(16, 50)","(19, 52)",6,6,True,0.0,0.9605992674827576,16.41030004248023,"[[16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52]]","[[16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52]]"
47,2b276873-c6d0-4159-be58-186e1e42ae65,xgb_coarse_simple_greedy,greedy,"(16, 49)","(21, 52)",11,11,True,0.0,0.9150828540325164,29.801800148561597,"[[16, 49], [16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52], [20, 53], [21, 53], [21, 52]]","[[16, 49], [16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52], [20, 53], [21, 53], [21, 52]]"
48,b54a1ffd-7038-481c-b504-2be014853217,xgb_coarse_simple_greedy,greedy,"(20, 52)","(17, 50)",6,6,True,0.0,0.9689622282981872,15.440299874171615,"[[20, 52], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50]]","[[20, 52], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50]]"
